iter	Passed	Remaining
0	2	245
1	4	204
2	5	180
3	6	158
4	7	151
5	9	145
6	10	140
7	11	135
8	12	131
9	14	127
10	15	125
11	16	122
12	18	120
13	19	118
14	20	116
15	21	114
16	23	113
17	24	111
18	25	110
19	27	108
20	28	106
21	29	103
22	30	102
23	32	102
24	33	100
25	34	99
26	36	97
27	37	95
28	38	94
29	39	92
30	40	91
31	42	89
32	43	88
33	44	86
34	45	85
35	46	83
36	47	81
37	48	79
38	50	78
39	51	76
40	52	75
41	52	72
42	53	71
43	55	70
44	56	68
45	57	67
46	58	66
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	57
53	66	56
54	67	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	111	8
93	112	7
94	113	5
95	114	4
96	116	3
97	117	2
98	118	1
99	119	0
